id,title,description,category,image,imageCaption,imageCredit,pubDate,tags,creator,source,language,imageName
477e3b2821e81058d364ab477318e825ad9844db,"בהצהרה חריגה, סינגפור הודיעה: נטיל סנקציות מתיישבים אלימים",שר החוץ של סינגפור הודיע כי ארצו לראשונה תטיל ״סנקציות ממוקדות״ על מנהיגי קבוצות מתיישבים ״ימניות רדיקליות״ ביהודה ושומרון • ״סינגפור תטיל סנקציות ממוקדות על מנהיגי קבוצות מתיישבים ימניות רדיקליות או ארגונים שהיו אחראים למעשי אלימות נגד פלשתינים ביהודה ושומרון. הפרטים יפורסמו במועד מאוחר יותר״,פוליטי-מדיני,data/pics/hayom_0001_b0c48e07.jpg,מתיישבים (ארכיון),ללא קרדיט,2025-09-23T03:56:59+03:00,מתיישבים|סינגפור|סנקציות,דודי קוגן,hayom,he,0503481
9a1cf07d9ad821412c6f180fb225e998227860a5,טראמפ קישר בין אוטיזם לשימוש באקמול בהריון - בניגוד לעמדת הממסד הרפואי,"עשרות שנים של מחקרים המצביעים כי תרופות המכילות אצטמינופן נחשבת בטוחה לנשים בהריון • לדברי טראמפ, ההמלצה היא להגביל שימוש בתרופה ""אלא אם יש צורך רפואי ממשי"", למשל במצבי חום גבוה",ארצות הברית,data/pics/hayom_0002_f9a104de.jpg,הנשיא טראמפ,אי.פי.אי,2025-09-23T03:26:58+03:00,אוטיזם|טראמפ,מערכת ישראל היום,hayom,he,12324863
ba1e232b8928ffc5f8ace7e9ce7ab049dc13916c,"האריס טוענת שנתניהו חתר תחת ביידן במהלך המלחמה: ""רצה את טראמפ""","סגנית הנשיא לשעבר טוענת בספרה החדש כי רה""מ ""דחה את נאמנותו של ביידן"", והיה מעוניין בחזרת טראמפ לבית הלבן: ""הוא רצה את הבחור שיסכים לכל הצעה קיצונית שלו לעתיד תושבי עזה"". על המלחמה בעזה אמרה: ""זה לא בנושא בינארי, מעטים מוכנים להחזיק שני נרטיבים - ולהתאבל על סבל ישראלי ופלסטיני כאחד""",חדשות|חדשות בעולם,data/pics/ynet_0001_d665d542.jpg,"סגנית נשיא ארה""ב לשעבר קמלה האריס לצד ראש הממשלה בנימין נתניהו במהלך ביקורו בוושינגטון ביולי 2024-סגנית הנשיא קמאלה האריס וראש ממשלת ישראל בנימין נתניהו בלשכת הטקסים של סגן הנשיא במתחם הבית הלבן בוושינגטון",ynet,2025-09-23T03:08:36+03:00,"בנימין נתניהו , ארצות הברית , ג'ו ביידן , דונלד טראמפ , קמלה האריס","דניאל אדלסון, ניו יורק",ynet,he,H1aQzBltR_0_34_3000_1689_0_medium
b29fdd6ba55a25775ec5847d1283e1f234b015dc,טראמפ: נטילת משככי כאבים מבוססי פרצטמול במהלך ההריון מעלה את הסיכון לאוטיזם אצל העובר,"בעוד מחקרים רבים מפריכים את הטענה לקשר בין פרצטמול לסיכון מוגבר לאוטיזם, הנשיא לא סיפק הוכחה מדעית לטענותיו. בחודש אפריל, שר הבריאות האמריקאי הכריז כי ארה""ב תדע מה גורם ל""מגפת האוטיזם"" עד ספטמבר",חדשות|אמריקה,data/pics/haaretz_0001_097f0c7e.jpg,,haaretz,2025-09-23T03:01:23+03:00,,עידו אפרתי,haaretz,he,189202
8c27ecfa8a8325b7c7dffbb52a4814f338e48383,מהפכה בטיפול בשבץ? הפיתוח הישראלי שרוצה להחליף צנתור מסוכן,חוקרים מ-HIT ומאסף הרופא מפתחים תוכנה שתדמה זרימת דם במוח באמצעות AI • הטכנולוגיה עשויה לחסוך פרוצדורות פולשניות ולסייע בהחלטות טיפוליות בשבץ,טכנולוגיה ומדע,data/pics/hayom_0003_09f4c585.jpeg,""" שואפים לפתח 'ארגז הכלים' הדמייתי""","יח""צ",2025-09-23T02:30:46+03:00,AI|בינה מלאכותית|לב|מדע|צנתור,מערכת ישראל היום,hayom,he,WhatsApp-Image-2025-09-21-at-12.46.49
84d76eb042c2a9eee6309a33f0b80f48b28f0d9e,"אחרי ההשעיה, דיסני מודיעים: ג’ימי קימל חוזר למסך","החברה מסרה כי ההשעיה נועדה למנוע הסלמה “בימים מתוחים במדינה” • ההחלטה להחזיר את התוכנית התקבלה לאחר במקריות לאחר מכתב תמיכה עליו חתמו מאות ידוענים • כזכור, קימל לעג לנשיא טראמפ במונולוג על רצח הפעיל הפרו-ישראלי צ’ארלי קירק",טלוויזיה,data/pics/hayom_0004_82217d32.jpg,המונולוג של ג'ימי קימל,יוטיוב,2025-09-23T01:46:01+03:00,ג'ימי קימל|צ'ארלי קירק,יונתן דושניצקי,hayom,he,המונולוג-של-גימי-קימל-יוטיוב
9d7f574acc1d119250c677e495246114574231d8,"צרפת הכירה במדינה פלסטינית, מקרון טען: ""תבוסה לחמאס""","שיא הצונאמי המדיני: ""הגיע הזמן"", הכריז נשיא צרפת שמוביל את היוזמה עם סעודיה, לפני שהכיר במדינה פלסטינית. הוא הזכיר את רבין ורצונו לשלום, וטען: ""תבוסה למי שרוצה בהרס ישראל"". אחריו הכירו בפלסטין גם מונקו, בלגיה, לוקסמבורג, מלטה, אנדורה וסן מרינו: ""מחויבים לפתרון שתי המדינות""",חדשות|פוליטי מדיני|מדיני,data/pics/ynet_0002_e47beaac.jpg,"נשיא צרפת במועצת האו""ם",ynet,2025-09-23T01:44:19+03:00,"צרפת , פלסטינים , מדינה פלסטינית , פלסטין , עמנואל מקרון","דניאל אדלסון, ניו יורק",ynet,he,HJjgXQkngx_0_0_3000_1689_0_medium
5800c0264709bb28176adfcc3767d02b3bcaab06,"אבו מאזן באו""ם: ""חמאס לא ישוב לשלוט על רצועת עזה""","יו""ר הרשות הפלשתינית, מחמוד עבאס נשא דברים בווידיאו בכנס מיוחד שקיים נשיא צרפת מקרון יחד עם יורש העצר הסעודי באו""ם • ""קוראים לסוף ההתנחלויות, הכיבוש, התקיפות על אתרים מוסלמים ונוצרים",פוליטי-מדיני,data/pics/hayom_0005_c90ad987.jpg,"יו""ר הרשות, אבו מאזן, נואם מרחוק בכנס האו""ם להכרה במדינה פלשתינית",רויטרס,2025-09-23T01:27:07+03:00,,"אור שקד, שליח ""ישראל היום"" בארה""ב|דודי קוגן|נטע בר",hayom,he,UN_General_Assembly_Israel_Palestinians_63257-97dfe
fa20ae6c5c19499a858401f3fad1adb786192eb0,"מקרון נפגש עם אביו של נמרוד כהן: ""להגביר את הלחץ על הממשל האמריקאי""","יהודה כהן, אביו של החטוף נמרוד כהן נפגש בשולי עצרת האו""ם עם נשיא צרפת עמנואל מקרון. מקרון אמר כי הדרך לעצירת המלחמה היא להפחית את התמיכה בחברה הישראלית ו""להגביר את הלחץ על הממשל האמריקאי"". לדבריו, התכנית של צרפת היא הפסקת אש בעזה, מתן גישה לסיוע הומניטרי, שחרור החטופים וייצוב האזור. השלב השני הוא ייצוב עזה עם כוח בינלאומי, הקמת ממשל תקין, מתן מקום לרשות פלסטינית מתוקנת, ופירוז חמאס מנשקו. בהמשך ציין כי יהיה צורך ב""יצירת מסגרת ביטחון רלוונטית עם כל האזור וההכרה ההדדית"".",חדשות|ישראל במלחמה – עדכונים,data/pics/haaretz_0002_ea63bdb0.jpg,,haaretz,2025-09-23T01:15:40+03:00,,"כתבי ""הארץ""",haaretz,he,whatsapp-image-2025-09-22-at-22-22-30-99a8fff2
e91b3da6ad2bcd8f423a7e4449f804ffd63aa917,"חדשות היום, 23 בספטמבר",בן 48 טבע בחוף צינברי בכנרת. חובשים ופרמדיקים של מגן דוד אדום פינו אותו לבית החולים פוריה תוך כדי פעולות החייאה וכשמצבו מוגדר אנוש.,חדשות|חדשות היום,data/pics/haaretz_0003_8f9d8ee4.png,,haaretz,2025-09-23T00:36:01+03:00,,חדשות היום,haaretz,he,htz-share
